country,year,gross_output15,gross_output16,gross_output17,gross_output18,gross_output19,gross_output20,gross_output21,gross_output22,gross_output23,gross_output24,gross_output25,gross_output26,gross_output27,gross_output28,gross_output29,gross_output30,gross_output31,gross_output32,gross_output33,gross_output34,gross_output35,gross_output36
CHE,2013,37083589815,2670452479,1645089817,1316098510,546415290,9552439450,3716394542,4200119346,25104998701,101899015938,8178565018,7643837459,5627917833,20220686032,36146819774,13067868496,21850768206,19364124238,33003833219,1849098996,5490318358,11118214102
CHE,2014,37626306556,2361658021,1842944455,1243699194,572862633,10337777118,3483444681,4094091476,25330222873,103408798570,8477862755,8559132195,5720141313,20672505645,37217508807,17181637686,21150443540,23839017299,24721592207,1925141795,5357677289,11059912497
CHE,2015,35802429983,4533447157,1629844619,1208734823,580232680,9244330841,3097237132,8593458586,42702746355,98880784514,7337185552,25859961274,4967097474,18091851258,34577493379,6927269954,19925316578,24146994126,25575375914,1783308195,4866009489,10049424762
CHE,2016,34918915325,1417836633,1466700707,963307187,568558144,8210515068,3012395533,3682675726,13653568348,103906177060,6905342340,7699023960,4617722827,17797893533,32787958540,9074773018,18509946117,20602599798,22852903935,1795400128,4954388208,9500924639
CHE,2017,36797942801,1918754775,1372842747,918991754,654471160,8374453953,2786328904,3600325204,16073718186,111169672059,7359611122,6463538079,5185981239,20308926151,34349406654,7745722146,18990390444,21092832377,26472896902,1698328456,5445195879,9871511711
CHN,2010,814399693720,83130965697,429362260200,186716805492,109851469713,110080116462,153493753350,51228540550,432059494239,942080587935,276728590843,454458013411,1304002100950,353771172165,822886653396,289009343646,474893685908,532339704671,100229695452,608961327829,196043909038,213224319447
CHN,2011,1044918014672,103196939516,465226827184,265054141780,131539755483,141626483546,186548367312,59386104783,580704271062,1297120883342,338915765335,608515937804,1663168902513,398063843456,850410301943,244502342505,785922100280,333004737448,497606914337,739845059809,236133128405,215247294691
CHN,2012,1257296470259,119948044566,527287929835,300781818703,146983215239,171247777961,202648371054,71849980031,626127455570,1493996276812,391877931662,696874515334,1787396672514,458515575778,991071922220,224530074529,878223788257,303650623392,686193943647,822535661538,242438730656,254684123921
CHN,2013,1479941437351,134092874512,605817560983,345082554871,166945351965,205013494717,214284515309,97078840071,663571269246,1724918242449,462750320461,838753708586,1989890018300,538188870514,1154206152016,275961472057,1014041542617,408923018420,696960365103,974080491846,255561627811,308333540464
CHN,2014,1597631064320,145889904571,649115462134,377547475891,184274300009,228856369255,227526331365,110122286656,671136045410,1893892406104,503204722310,934928413002,2045188895982,595947966561,1246792754671,390955529458,1126997376386,542439306431,562521649386,1115547916686,284773304312,353754268378
CHN,2015,1643042163543,149992717771,669370592224,393354207450,191824505832,237745261373,231629473773,118857054585,557288660004,1916624019729,516835597783,945439486124,1836511473565,604080071438,1246501599601,192840482102,1148006042243,672201028610,711964143735,1151611187109,294620994112,371637589404
CHN,2016,1674126420766,152830388241,682034228121,400795966199,195453580251,242243097787,236011607308,121105678113,567831849033,1952884095937,526613466581,963325992576,1871255922888,615508494151,1270083816366,277586830818,1169724848965,630209744410,699043950241,1173398198579,300194846683,378668497495
CHN,2017,1782217000320,162697937682,726070015424,426673503123,208073111542,257883611257,251249782334,128924910145,604494118310,2078972765842,560614456050,1025523484680,1992074240300,655249023319,1352087238626,239547685627,1245248558085,652326417566,818712711990,1249159078854,319577035845,403117366379
CYP,2010,1827819534,3440866,32651034,34533041,4195776,233310597,75689528,137175930,21067605,302139608,145178102,680637578,94896331,438413604,127093087,11582615,90840324,45536664,27998117,18780338,3658060,158740208
