country,year,isic,value_added,gross_output
8,2016,35,1110369.854457099,2054363.200588318
8,2017,35,1231231.368352327,2126273.946985095
8,2010,36,18483757,63086217
8,2011,36,18832944,63841983
8,2012,36,19794667,59221556
8,2013,36,21838592,72451918
8,2014,36,29654586,77927272
8,2015,36,23633164,76708072
8,2016,36,26798013,82116071
8,2017,36,29605322,90719867
8,2010,37,1805911,28151897
8,2011,37,4995146,51565829
8,2012,37,5682821,51418221
8,2013,37,8845782,34769236
8,2014,37,5951370,43972191
8,2015,37,0,0
8,2016,37,0,1408
8,2017,37,0,0
12,2010,15,2572090116.010028,9265733992.81142
12,2011,15,3178691106,11299299707
12,2012,15,3432445745,11598733269
12,2013,15,3596910105,12437569612
12,2014,15,4027624214,13184586255
12,2015,15,3512920508,11428628690
12,2016,15,3571286224,11618510612
12,2017,15,3761344266,12236828841
12,2010,16,306570378.7682543,768763892.9327306
12,2011,16,655585246,755382494
12,2012,16,610697226,704679417
12,2013,16,555850943,641086377
12,2014,16,521835604,599076556
12,2015,16,349851015,401374762
12,2016,16,355663644,408043437
12,2017,16,374591484,429758845
12,2010,17,186083445,585661414
12,2011,17,184787376,602183642
12,2012,17,180664542,585676580
12,2013,17,180563045,576325087
12,2014,17,183596184,566648759
12,2015,17,156845518,470258478
12,2016,17,159451442,478071627
12,2017,17,167937188,503513821
12,2010,18,0,0
12,2011,18,159025729,547342456
12,2012,18,157565585,536434917
12,2013,18,156976832,526393376
12,2014,18,161009658,519676233
12,2015,18,136585602,428805100
12,2016,18,138854915,435929519
12,2017,18,146244548,459128978
12,2010,19,34858718,84935357
12,2011,19,35701612,86320027
12,2012,19,34371145,83406453
12,2013,19,33388603,81052409
