"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes","Value Footnotes"
"Belize","2.1","Industries","Mining and quarrying","C","2017","100","Belize dollar                           ","1993","Western calendar year","11654000","",""
"Belize","2.1","Industries","Manufacturing","D","2017","100","Belize dollar                           ","1993","Western calendar year","246584000","",""
"Belize","2.1","Industries","Electricity, gas and water supply","E","2017","100","Belize dollar                           ","1993","Western calendar year","118448000","",""
"Belize","2.1","Industries","Construction","F","2017","100","Belize dollar                           ","1993","Western calendar year","123245000","",""
"Belize","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","2017","100","Belize dollar                           ","1993","Western calendar year","737801000","",""
"Belize","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods","G","2017","100","Belize dollar                           ","1993","Western calendar year","536298000","",""
"Belize","2.1","Industries","Hotels and restaurants","H","2017","100","Belize dollar                           ","1993","Western calendar year","201503000","",""
"Belize","2.1","Industries","Transport, storage and communications","I","2017","100","Belize dollar                           ","1993","Western calendar year","388634045.05726","",""
"Belize","2.1","Industries","Land transport; transport via pipelines, water transport; air transport; Supporting and auxiliary transport activities; activities of travel agencies","60-63","2017","100","Belize dollar                           ","1993","Western calendar year","157092000","",""
"Belize","2.1","Industries","Post and telecommunications","64","2017","100","Belize dollar                           ","1993","Western calendar year","231542000","",""
"Belize","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","2017","100","Belize dollar                           ","1993","Western calendar year","507777000","",""
"Belize","2.1","Industries","Financial intermediation","J","2017","100","Belize dollar                           ","1993","Western calendar year","280161000","",""
"Belize","2.1","Industries","Real estate, renting and business activities","K","2017","100","Belize dollar                           ","1993","Western calendar year","227616000","",""
"Belize","2.1","Industries","Public administration and defence; compulsory social security","L","2017","100","Belize dollar                           ","1993","Western calendar year","442027000","",""
